epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9011,2.14462,3.35315,2.01955,0.00508,0.51471,0.049,0.02207,2.35746,3.6591,2.10331,1.667e-05,1.667e-05,1.667e-05
2,59.2599,2.46382,3.4122,2.43463,0.00516,0.52721,0.04917,0.02076,2.32335,3.63767,2.05981,4.90198e-05,4.90198e-05,4.90198e-05
3,82.6637,2.17271,3.42209,2.08674,0.00488,0.51471,0.0487,0.02229,2.3305,3.60621,2.01772,8.00493e-05,8.00493e-05,8.00493e-05
4,105.912,1.94999,3.22496,1.94725,0.00577,0.58971,0.0541,0.02377,2.36802,3.61068,2.01034,0.000109759,0.000109759,0.000109759
5,129.786,1.89521,3.20288,1.95073,0.00556,0.57721,0.09735,0.02757,2.26637,3.62372,1.91807,0.000138148,0.000138148,0.000138148
6,151.41,1.77324,3.08303,1.82481,0.00593,0.61912,0.10588,0.03638,2.27209,3.56356,1.93732,0.000165216,0.000165216,0.000165216
7,172.98,1.74643,2.92655,1.80021,0.00582,0.59412,0.08297,0.03035,2.21231,3.5493,1.96654,0.000190965,0.000190965,0.000190965
8,194.421,1.77635,2.71798,1.75304,0.00631,0.61912,0.08845,0.03227,2.28919,3.55695,2.10154,0.000215393,0.000215393,0.000215393
9,217.014,1.67263,2.63162,1.7401,0.00607,0.60662,0.09219,0.03467,2.32885,3.52619,2.12167,0.000238501,0.000238501,0.000238501
10,239.559,1.7229,2.38855,1.68059,0.00588,0.57721,0.10474,0.03742,2.33687,3.50401,2.13516,0.000260289,0.000260289,0.000260289
11,263.427,1.83298,2.37267,1.79367,0.00658,0.64412,0.12893,0.04518,2.29708,3.48999,2.12567,0.000280756,0.000280756,0.000280756
12,286.372,1.72726,2.35619,1.79245,0.0065,0.64412,0.1484,0.05123,2.34722,3.47713,2.17629,0.000299903,0.000299903,0.000299903
13,309.593,1.67653,2.33733,1.66323,0.00597,0.60662,0.18057,0.05769,2.32311,3.46701,2.12312,0.00031773,0.00031773,0.00031773
14,334.385,1.74256,2.43054,1.7027,0.00629,0.61471,0.16938,0.04275,2.35698,3.44569,2.15506,0.000334237,0.000334237,0.000334237
15,358.049,1.58084,2.16555,1.58268,0.00596,0.58971,0.13897,0.0376,2.34444,3.45562,2.15199,0.000349423,0.000349423,0.000349423
16,379.911,1.64126,2.14668,1.60859,0.00674,0.63971,0.14855,0.03748,2.41304,3.43928,2.2189,0.000363289,0.000363289,0.000363289
17,401.824,1.50397,2.02916,1.54957,0.0065,0.61471,0.11488,0.03503,2.44129,3.41461,2.24907,0.000375835,0.000375835,0.000375835
18,423.315,1.49274,1.95931,1.50696,0.00682,0.64412,0.16194,0.04396,2.47944,3.40051,2.28493,0.000387061,0.000387061,0.000387061
19,444.815,1.62943,1.87171,1.5931,0.06469,0.48088,0.14132,0.0415,2.48789,3.40705,2.27438,0.000396966,0.000396966,0.000396966
20,466.722,1.57983,2.1495,1.57814,0.6984,0.075,0.14231,0.04234,2.41339,3.38293,2.24575,0.000405551,0.000405551,0.000405551
21,488.11,1.54879,1.79542,1.47671,0.77825,0.025,0.14992,0.04345,2.37072,3.3712,2.18788,0.000412816,0.000412816,0.000412816
22,509.932,1.3685,1.88258,1.4311,0.76139,0.0625,0.15196,0.04927,2.33278,3.27733,2.12115,0.00041876,0.00041876,0.00041876
23,531.457,1.4044,1.77429,1.41372,0.77236,0.1125,0.1822,0.05717,2.30877,3.20812,2.08025,0.000423385,0.000423385,0.000423385
24,552.593,1.419,1.70824,1.42211,0.70739,0.1125,0.19832,0.06852,2.27421,3.17777,2.1018,0.000426689,0.000426689,0.000426689
25,573.921,1.42159,1.66327,1.44904,0.68431,0.175,0.2391,0.08315,2.25703,3.1181,2.13495,0.000428672,0.000428672,0.000428672
26,594.767,1.40266,1.68302,1.39823,0.64611,0.1625,0.22811,0.08559,2.29638,3.09938,2.19486,0.000429336,0.000429336,0.000429336
27,615.807,1.32592,1.60047,1.34086,0.65126,0.1625,0.21437,0.08963,2.22812,3.05776,2.11437,0.000428679,0.000428679,0.000428679
28,637.081,1.40045,1.85913,1.4934,0.65126,0.1625,0.21437,0.08963,2.22812,3.05776,2.11437,0.000426702,0.000426702,0.000426702
29,658.034,1.45297,1.73774,1.46022,0.66895,0.125,0.19394,0.08391,2.20845,3.10325,2.11268,0.000423405,0.000423405,0.000423405
30,679.157,1.32457,1.57826,1.36473,0.60921,0.075,0.18843,0.07441,2.24746,3.21024,2.12471,0.000418787,0.000418787,0.000418787
31,699.907,1.3669,1.58167,1.40789,0.60921,0.075,0.18843,0.07441,2.24746,3.21024,2.12471,0.000412849,0.000412849,0.000412849
32,720.754,1.20624,1.54423,1.29797,0.56429,0.09056,0.16025,0.06646,2.26619,3.25149,2.17146,0.000405591,0.000405591,0.000405591
33,741.565,1.29588,1.67458,1.40087,0.40062,0.13011,0.13227,0.05021,2.2603,3.29027,2.28368,0.000397013,0.000397013,0.000397013
34,762.544,1.28617,1.45478,1.32041,0.40062,0.13011,0.13227,0.05021,2.2603,3.29027,2.28368,0.000387114,0.000387114,0.000387114
35,783.453,1.23593,1.47433,1.37902,0.38442,0.17193,0.16498,0.06538,2.27272,3.20221,2.23303,0.000375895,0.000375895,0.000375895
36,804.396,1.24582,1.41793,1.30432,0.46434,0.21872,0.20946,0.0921,2.23906,3.09964,2.18969,0.000363356,0.000363356,0.000363356
37,825.52,1.26782,1.51724,1.39708,0.46434,0.21872,0.20946,0.0921,2.23906,3.09964,2.18969,0.000349497,0.000349497,0.000349497
38,846.669,1.31646,1.58066,1.39564,0.50441,0.26,0.22591,0.09989,2.2883,3.10695,2.24433,0.000334317,0.000334317,0.000334317
39,867.768,1.2487,1.55716,1.39314,0.41552,0.23045,0.22851,0.09376,2.29241,3.14741,2.26776,0.000317817,0.000317817,0.000317817
40,888.731,1.24812,1.47532,1.35543,0.41552,0.23045,0.22851,0.09376,2.29241,3.14741,2.26776,0.000299997,0.000299997,0.000299997
41,909.615,1.39965,1.87747,1.47717,0.34728,0.19632,0.22366,0.09104,2.36105,3.24977,2.38023,0.000280856,0.000280856,0.000280856
42,930.753,1.38735,1.76604,1.44358,0.45346,0.20685,0.2303,0.09267,2.4101,3.33314,2.45556,0.000260395,0.000260395,0.000260395
43,951.696,1.39221,1.79004,1.41737,0.45346,0.20685,0.2303,0.09267,2.4101,3.33314,2.45556,0.000238614,0.000238614,0.000238614
44,972.84,1.2001,1.59785,1.354,0.46024,0.20358,0.21094,0.06954,2.39407,3.35885,2.43034,0.000215513,0.000215513,0.000215513
45,993.839,1.20156,1.73692,1.3315,0.46024,0.20358,0.21094,0.06954,2.39407,3.35885,2.43034,0.000191092,0.000191092,0.000191092
46,1015.1,1.15352,1.57431,1.32287,0.48044,0.23859,0.22005,0.07261,2.39603,3.32606,2.4077,0.00016535,0.00016535,0.00016535
47,1036.2,1.23013,1.67661,1.30068,0.48044,0.23859,0.22005,0.07261,2.39603,3.32606,2.4077,0.000138288,0.000138288,0.000138288
48,1057.6,1.20582,1.68874,1.35475,0.47133,0.25778,0.22616,0.08608,2.38722,3.26091,2.34777,0.000109905,0.000109905,0.000109905
49,1078.64,1.12585,1.71411,1.36625,0.47133,0.25778,0.22616,0.08608,2.38722,3.26091,2.34777,8.02027e-05,8.02027e-05,8.02027e-05
50,1099.95,1.26381,1.84105,1.27544,0.47085,0.27964,0.23482,0.08686,2.33432,3.23724,2.29399,4.91798e-05,4.91798e-05,4.91798e-05
