epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9741,2.26392,3.33577,2.08751,0.00511,0.51471,0.04628,0.02137,2.35245,3.65773,2.10805,0,0,0
2,68.0534,2.40208,3.41022,2.35322,0.00525,0.52721,0.04922,0.02248,2.35163,3.66945,2.1086,1.6505e-05,1.6505e-05,1.6505e-05
3,92.2371,2.27962,3.40343,2.17381,0.00523,0.52721,0.05039,0.02179,2.3449,3.68153,2.0984,3.26799e-05,3.26799e-05,3.26799e-05
4,114.351,2.17122,3.35729,2.14285,0.00539,0.53971,0.05264,0.02311,2.32103,3.6585,2.07019,4.85247e-05,4.85247e-05,4.85247e-05
5,136.177,2.1638,3.35294,2.15647,0.00518,0.52721,0.04932,0.02595,2.27971,3.63148,2.03685,6.40395e-05,6.40395e-05,6.40395e-05
6,158.581,2.08575,3.32323,2.05018,0.00496,0.51471,0.05088,0.02637,2.24203,3.61437,2.01631,7.92242e-05,7.92242e-05,7.92242e-05
7,180.795,1.98085,3.25256,1.98408,0.00479,0.50221,0.06258,0.03225,2.21263,3.6149,1.9974,9.40788e-05,9.40788e-05,9.40788e-05
8,202.914,2.07564,3.21646,1.99977,0.00512,0.52721,0.06881,0.03881,2.16009,3.59038,1.97116,0.000108603,0.000108603,0.000108603
9,224.855,1.74387,3.15474,1.85248,0.00509,0.52721,0.08766,0.04596,2.1264,3.60113,1.97562,0.000122798,0.000122798,0.000122798
10,247.047,1.75116,3.04844,1.80723,0.00508,0.52721,0.10358,0.04499,2.06234,3.57448,1.93641,0.000136662,0.000136662,0.000136662
11,269.129,1.87833,3.03782,1.90466,0.00508,0.51029,0.10231,0.05331,2.08226,3.54578,1.94777,0.000150197,0.000150197,0.000150197
12,291.664,1.80298,2.88545,1.91115,0.00547,0.53529,0.09305,0.04493,2.10235,3.55675,1.97698,0.000163401,0.000163401,0.000163401
13,316.23,1.77866,2.83101,1.78747,0.00572,0.54779,0.0913,0.03556,2.12478,3.55448,1.98387,0.000176275,0.000176275,0.000176275
14,339.795,1.77522,2.73132,1.75423,0.00606,0.58971,0.09553,0.0361,2.13083,3.54568,1.99094,0.000188819,0.000188819,0.000188819
15,361.924,1.6717,2.64588,1.72156,0.0062,0.60221,0.10702,0.04207,2.08503,3.55115,1.97722,0.000201034,0.000201034,0.000201034
16,384.136,1.70459,2.60579,1.76273,0.0065,0.62721,0.10737,0.04371,2.08778,3.5154,1.98064,0.000212918,0.000212918,0.000212918
17,406.208,1.62715,2.52347,1.67847,0.00655,0.63971,0.13573,0.04939,2.05994,3.50294,1.98302,0.000224472,0.000224472,0.000224472
18,428.189,1.58634,2.35539,1.65231,0.00648,0.65662,0.14213,0.05005,2.01074,3.48424,1.94446,0.000235695,0.000235695,0.000235695
19,451.693,1.67695,2.14358,1.65385,0.00697,0.74485,0.16924,0.05652,2.00368,3.49786,1.95836,0.000246589,0.000246589,0.000246589
20,473.897,1.59655,2.45751,1.65428,0.00657,0.66912,0.16098,0.05659,2.00561,3.48325,1.95269,0.000257153,0.000257153,0.000257153
21,495.41,1.59884,2.24363,1.58797,0.00671,0.68162,0.19818,0.07398,2.01302,3.45673,1.92715,0.000267387,0.000267387,0.000267387
22,518.23,1.54059,2.20537,1.55606,0.0067,0.68162,0.18947,0.07413,2.04935,3.42722,1.90276,0.00027729,0.00027729,0.00027729
23,539.993,1.49969,2.11937,1.51758,0.00652,0.66912,0.16398,0.068,2.07925,3.4084,1.91235,0.000286864,0.000286864,0.000286864
24,561.502,1.5526,2.10119,1.54808,0.00673,0.68162,0.16694,0.069,2.1082,3.40197,1.9328,0.000296108,0.000296108,0.000296108
25,583.366,1.42998,1.87753,1.46708,0.00631,0.64412,0.1652,0.07104,2.10554,3.38324,1.93597,0.000305021,0.000305021,0.000305021
26,606.621,1.51229,1.88348,1.48564,0.13216,0.125,0.16186,0.07044,2.16239,3.34587,1.99747,0.000313604,0.000313604,0.000313604
27,629.844,1.31182,1.82014,1.37351,0.67599,0.0125,0.17194,0.07327,2.20341,3.32123,2.04389,0.000321858,0.000321858,0.000321858
28,651.019,1.50077,2.08601,1.57508,0.62435,0.01707,0.16632,0.06637,2.25485,3.29714,2.06387,0.000329781,0.000329781,0.000329781
29,673.084,1.49611,1.91265,1.5112,0.62955,0.025,0.15378,0.06181,2.16175,3.31166,1.99053,0.000337374,0.000337374,0.000337374
30,695.542,1.2936,1.7477,1.35512,0.62801,0.0875,0.13968,0.05304,2.12366,3.29489,1.93713,0.000344637,0.000344637,0.000344637
31,718.169,1.35265,1.62194,1.3869,0.67145,0.05,0.15894,0.05412,2.12638,3.28325,1.9207,0.00035157,0.00035157,0.00035157
32,741.018,1.24833,1.66987,1.32487,0.61628,0.1375,0.14405,0.0511,2.14335,3.28012,1.9409,0.000358173,0.000358173,0.000358173
33,763.193,1.3213,1.81007,1.43595,0.24643,0.15534,0.1411,0.04836,2.177,3.33095,2.0063,0.000364446,0.000364446,0.000364446
34,785.423,1.26719,1.49433,1.28269,0.63451,0.075,0.15419,0.0534,2.19783,3.3533,2.04216,0.000370389,0.000370389,0.000370389
35,807.579,1.36615,1.59498,1.44126,0.65608,0.05,0.13758,0.0438,2.25349,3.3416,2.11685,0.000376002,0.000376002,0.000376002
36,829.513,1.30693,1.47923,1.32076,0.65133,0.0625,0.13924,0.05217,2.27152,3.3033,2.16534,0.000381285,0.000381285,0.000381285
37,851.435,1.2256,1.56095,1.34651,0.64517,0.06143,0.1549,0.06393,2.26844,3.27904,2.18654,0.000386237,0.000386237,0.000386237
38,873.202,1.30542,1.61193,1.44568,0.67914,0.05,0.15697,0.06074,2.29221,3.3077,2.22478,0.00039086,0.00039086,0.00039086
39,895.669,1.22252,1.6305,1.35187,0.70719,0.05,0.18411,0.07994,2.30807,3.31981,2.27036,0.000395152,0.000395152,0.000395152
40,917.434,1.2577,1.50944,1.36763,0.6626,0.03053,0.17457,0.076,2.35799,3.33784,2.33795,0.000399115,0.000399115,0.000399115
41,939.489,1.28164,1.47033,1.3513,0.67582,0.03423,0.19672,0.0822,2.35072,3.38444,2.34101,0.000402747,0.000402747,0.000402747
42,961.241,1.16067,1.41369,1.28827,0.67344,0.09652,0.19172,0.07865,2.3649,3.38411,2.36619,0.00040605,0.00040605,0.00040605
43,983.415,1.20787,1.35898,1.2644,0.42318,0.13382,0.18973,0.07659,2.35115,3.36184,2.34466,0.000409022,0.000409022,0.000409022
44,1006,1.31209,1.41393,1.3285,0.4242,0.10882,0.17154,0.08,2.30834,3.42993,2.34304,0.000411664,0.000411664,0.000411664
45,1028.16,1.12635,1.40198,1.23892,0.44125,0.12132,0.17301,0.07494,2.30916,3.48578,2.40793,0.000413976,0.000413976,0.000413976
46,1051.51,1.27625,1.45248,1.37674,0.55177,0.10457,0.17682,0.06303,2.32437,3.54087,2.45568,0.000415958,0.000415958,0.000415958
